,Age G,Age^2,Ast,Comb^2,Disruption_Score,Dominance_Score,Double_Digit_Sacks,FF,FR,GS^2,Impact_Plays,Int,Int_Yds,PD,QBHits,Sack_Conv_Rate,Solo_Tackle_Pct,TFL,Turnover_Creator,target,season
88,0.6656495143789144,0.514414493514449,0.30983158591270626,-0.32634329515241906,1.5695519117189072,2.3079737217618295,1.0515184529577069,0.853566383547152,2.5404405985027134,0.3967677328015067,2.078574379056271,-0.33268289127865186,-0.33291481451323635,-0.8662385195580394,1.4871712269280735,0.843555313038496,0.15714035631496867,1.7602099556608228,0.656459615299629,14.0,2011
308,-1.7203880491912786,2.716523901123154,-0.9798423904489334,-0.979980036543303,-0.16818225101348205,-0.5161138086459527,-0.9510056596602788,-0.2490455533042814,-0.14516803420015495,-3.5025161980806043,-0.9340208317751455,-0.697788267724291,-0.5680431973385178,-0.1524873745987641,0.0771260245813825,-0.2802576558672647,-2.196567177732492,-0.01908293533890754,-1.5233229534517037,8.0,1982
37,0.857813613458393,0.1875388783225319,0.023237368943452984,-0.6894748181473546,0.4110624698973143,0.8645512062200742,1.0515184529577069,-0.2490455533042814,-0.14516803420015495,1.1320612740535618,0.34633213282820646,-0.697788267724291,-0.5680431973385178,-0.628321471238281,1.1346599263414008,0.33403602318116193,0.01003363542028618,0.9694131152164982,-1.5233229534517037,13.0,2022
134,-0.10300688193900008,-0.4318043925674163,-0.4783025107527402,-0.6624650354452519,0.17936458153299578,-0.5161138086459527,-0.9510056596602788,0.3022604151214353,-1.0403709117677777,0.3967677328015067,-0.8587059515043601,-0.697788267724291,-0.5680431973385178,-0.1524873745987641,0.0771260245813825,-0.4467484660691664,0.5472929638428041,-0.01908293533890754,0.656459615299629,1.0,2005
217,-2.1847846219666853,-0.4318043925674163,-0.9798423904489334,-0.806517209856466,-0.5157290835599599,-0.6416288099974097,-0.9510056596602788,-0.8003515217299981,-1.0403709117677777,-3.079165371299118,-0.105557148796506,1.857949367395183,0.9602912910258118,-0.1524873745987641,0.0771260245813825,-1.4456933272805768,1.039780681536616,-0.01908293533890754,0.656459615299629,9.0,1993
247,0.6656495143789144,0.514414493514449,-0.9798423904489334,1.7547604620445896,0.5269114140794736,0.17421869878706078,-0.9510056596602788,0.853566383547152,-0.14516803420015495,0.3967677328015067,0.7982214144529189,1.1277386145039048,0.69157313922549,-0.1524873745987641,0.0771260245813825,-0.5299938711701172,1.0397806816078297,-0.01908293533890754,0.656459615299629,2.0,1991
4,0.40943071560627625,0.1875388783225319,3.175773755605239,2.4414091600713768,0.7586093024437922,-0.5161138086459527,-0.9510056596602788,1.4048723519728687,-0.14516803420015495,0.3967677328015067,-0.482131550150433,-0.33268289127865186,-0.5680431973385178,-0.628321471238281,-1.6854304783519811,0.8851780151964166,-0.2033198206537758,-0.2167821454499887,0.656459615299629,15.0,2024
126,1.1780871119241907,1.2025736833921692,-0.2633568480258003,-0.6624650354452519,-0.16818225101348205,0.23697619946278928,1.0515184529577069,-0.2490455533042814,-1.0403709117677777,0.3967677328015067,-0.030242268525720588,-0.697788267724291,-0.5680431973385178,-0.8662385195580394,0.42963732516805525,0.4363767011010215,0.3362267991062431,-0.01908293533890754,-1.5233229534517037,1.0,2006
286,0.9218683131515526,0.8527594285376615,-0.9798423904489334,-0.979980036543303,-0.16818225101348205,0.17421869878706078,1.0515184529577069,-0.2490455533042814,-0.14516803420015495,0.3967677328015067,-0.105557148796506,-0.697788267724291,-0.5680431973385178,-0.1524873745987641,0.0771260245813825,0.6354418002431949,-2.196567177732492,-0.01908293533890754,-1.5233229534517037,15.0,1983
77,0.40943071560627625,0.1875388783225319,-0.4066539565104269,-0.5094096001333369,-0.8632759161064377,-1.331961317430423,-0.9510056596602788,0.3022604151214353,0.7500348433674678,0.3967677328015067,-0.5574464304212184,0.7626332380582656,1.2793940962886938,2.7025172052383373,-2.2729493126631026,-1.4456933272805768,0.5774452731016532,-1.7983758263386378,0.656459615299629,2.0,2015
