Rec_Unnamed: 0_level_0 Rk,Player,Rec_Unnamed: 2_level_0 Age,Rec_Unnamed: 3_level_0 Team,Rec_Unnamed: 4_level_0 Pos,Rec_Unnamed: 5_level_0 G,Rec_Unnamed: 6_level_0 GS,Rec_Receiving Tgt,Rec_Receiving Rec,Rec_Receiving Yds,Rec_Receiving Y/R,Rec_Receiving TD,Rec_Receiving 1D,Rec_Receiving Succ%,Rec_Receiving Lng,Rec_Receiving R/G,Rec_Receiving Y/G,Rec_Receiving Ctch%,Rec_Receiving Y/Tgt,Rec_Unnamed: 19_level_0 Fmb,Rec_Unnamed: 20_level_0 Awards,Year
42.0,Rashid Shaheed,27.0,NOR,WR,9.0,9.0,66.0,44.0,499.0,11.3,2.0,22.0,43.9,87.0,4.9,55.4,66.7,7.6,1.0,,2025
42.0,Rashid Shaheed,27.0,SEA,WR,5.0,3.0,16.0,8.0,104.0,13.0,0.0,4.0,43.8,33.0,1.6,20.8,50.0,6.5,1.0,,2025
43.0,Chase Brown,25.0,CIN,RB,13.0,13.0,68.0,51.0,299.0,5.9,2.0,11.0,38.2,21.0,3.9,23.0,75.0,4.4,2.0,,2025
44.0,Troy Franklin,22.0,DEN,WR,13.0,7.0,88.0,51.0,541.0,10.6,5.0,25.0,42.0,42.0,3.9,41.6,58.0,6.1,1.0,,2025
45.0,Zach Ertz,35.0,WAS,TE,13.0,13.0,72.0,50.0,504.0,10.1,4.0,25.0,51.4,30.0,3.8,38.8,69.4,7.0,1.0,,2025
46.0,Kenneth Gainwell,26.0,PIT,RB,13.0,2.0,58.0,50.0,286.0,5.7,2.0,12.0,34.5,28.0,3.8,22.0,86.2,4.9,2.0,,2025
47.0,Dallas Goedert,30.0,PHI,TE,12.0,12.0,66.0,48.0,481.0,10.0,7.0,27.0,60.6,36.0,4.0,40.1,72.7,7.3,0.0,,2025
48.0,Tee Higgins,26.0,CIN,WR,12.0,12.0,81.0,46.0,667.0,14.5,9.0,33.0,51.9,44.0,3.8,55.6,56.8,8.2,0.0,,2025
49.0,T.J. Hockenson,28.0,MIN,TE,13.0,13.0,60.0,46.0,370.0,8.0,3.0,19.0,48.3,29.0,3.5,28.5,76.7,6.2,0.0,,2025
50.0,Cade Otton,26.0,TAM,TE,13.0,13.0,66.0,46.0,430.0,9.3,0.0,18.0,50.0,27.0,3.5,33.1,69.7,6.5,0.0,,2025
51.0,Rashee Rice,25.0,KAN,WR,7.0,7.0,67.0,46.0,520.0,11.3,5.0,27.0,53.7,47.0,6.6,74.3,68.7,7.8,2.0,,2025
52.0,Tre Tucker,24.0,LVR,WR,13.0,13.0,72.0,46.0,574.0,12.5,5.0,27.0,47.2,61.0,3.5,44.2,63.9,8.0,0.0,,2025
53.0,Romeo Doubs,25.0,GNB,WR,13.0,12.0,73.0,45.0,542.0,12.0,5.0,32.0,56.2,48.0,3.5,41.7,61.6,7.4,1.0,,2025
54.0,Hunter Henry,31.0,NWE,TE,13.0,13.0,69.0,45.0,610.0,13.6,5.0,33.0,58.0,36.0,3.5,46.9,65.2,8.8,0.0,,2025
55.0,Ashton Jeanty,22.0,LVR,RB,13.0,13.0,58.0,45.0,259.0,5.8,4.0,11.0,48.3,29.0,3.5,19.9,77.6,4.5,2.0,,2025
56.0,Jameson Williams,24.0,DET,WR,13.0,11.0,72.0,45.0,802.0,17.8,6.0,35.0,51.4,64.0,3.5,61.7,62.5,11.1,0.0,,2025
57.0,Josh Downs,24.0,IND,WR,12.0,7.0,65.0,44.0,393.0,8.9,3.0,27.0,52.3,34.0,3.7,32.8,67.7,6.0,1.0,,2025
58.0,Rome Odunze,23.0,CHI,WR,12.0,12.0,90.0,44.0,661.0,15.0,6.0,37.0,45.6,37.0,3.7,55.1,48.9,7.3,0.0,,2025
59.0,Mason Taylor,21.0,NYJ,TE,13.0,11.0,65.0,44.0,369.0,8.4,1.0,23.0,52.3,27.0,3.4,28.4,67.7,5.7,0.0,,2025
60.0,Marquise Brown,28.0,KAN,WR,13.0,5.0,62.0,42.0,494.0,11.8,5.0,26.0,58.1,49.0,3.2,38.0,67.7,8.0,1.0,,2025
61.0,Theo Johnson,24.0,NYG,TE,13.0,13.0,68.0,42.0,456.0,10.9,5.0,23.0,41.2,41.0,3.2,35.1,61.8,6.7,0.0,,2025
62.0,Quentin Johnston,24.0,LAC,WR,12.0,8.0,71.0,42.0,533.0,12.7,7.0,20.0,43.7,60.0,3.5,44.4,59.2,7.5,1.0,,2025
63.0,Jauan Jennings,28.0,SFO,WR,11.0,11.0,69.0,41.0,458.0,11.2,5.0,25.0,55.1,42.0,3.7,41.6,59.4,6.6,1.0,,2025
64.0,Chigoziem Okonkwo,26.0,TEN,TE,13.0,9.0,53.0,41.0,426.0,10.4,0.0,18.0,52.8,39.0,3.2,32.8,77.4,8.0,0.0,,2025
65.0,AJ Barner,23.0,SEA,TE,13.0,13.0,50.0,40.0,386.0,9.7,4.0,19.0,66.0,61.0,3.1,29.7,80.0,7.7,2.0,,2025
66.0,Evan Engram,31.0,DEN,TE,12.0,1.0,61.0,40.0,347.0,8.7,1.0,17.0,47.5,41.0,3.3,28.9,65.6,5.7,0.0,,2025
67.0,Marvin Harrison Jr.,23.0,ARI,WR,10.0,10.0,69.0,40.0,594.0,14.9,4.0,29.0,53.6,45.0,4.0,59.4,58.0,8.6,0.0,,2025
68.0,Sam LaPorta,24.0,DET,TE,9.0,9.0,49.0,40.0,489.0,12.2,3.0,23.0,69.4,40.0,4.4,54.3,81.6,10.0,0.0,,2025
69.0,Malik Washington,24.0,MIA,WR,13.0,3.0,56.0,40.0,274.0,6.9,2.0,14.0,39.3,28.0,3.1,21.1,71.4,4.9,1.0,,2025
70.0,Oronde Gadsden II,22.0,LAC,TE,11.0,6.0,55.0,39.0,541.0,13.9,2.0,21.0,69.1,53.0,3.5,49.2,70.9,9.8,1.0,,2025
71.0,D.J. Moore,28.0,CHI,WR,13.0,13.0,66.0,39.0,498.0,12.8,3.0,24.0,47.0,42.0,3.0,38.3,59.1,7.5,1.0,,2025
72.0,Sterling Shepard,32.0,TAM,WR,13.0,2.0,53.0,39.0,371.0,9.5,1.0,18.0,45.3,36.0,3.0,28.5,73.6,7.0,1.0,,2025
73.0,Mark Andrews,30.0,BAL,TE,13.0,9.0,57.0,38.0,341.0,9.0,5.0,21.0,52.6,27.0,2.9,26.2,66.7,6.0,1.0,,2025
74.0,Jerry Jeudy,26.0,CLE,WR,13.0,13.0,85.0,38.0,497.0,13.1,2.0,24.0,36.5,60.0,2.9,38.2,44.7,5.8,1.0,,2025
75.0,Alec Pierce,25.0,IND,WR,11.0,10.0,67.0,38.0,769.0,20.2,2.0,33.0,56.7,50.0,3.5,69.9,56.7,11.5,0.0,,2025
76.0,Xavier Worthy,22.0,KAN,WR,11.0,11.0,63.0,38.0,456.0,12.0,1.0,19.0,50.8,42.0,3.5,41.5,60.3,7.2,0.0,,2025
77.0,Jordan Addison,23.0,MIN,WR,10.0,9.0,70.0,37.0,510.0,13.8,3.0,24.0,47.1,81.0,3.7,51.0,52.9,7.3,0.0,,2025
78.0,RJ Harvey,24.0,DEN,RB,13.0,4.0,42.0,37.0,247.0,6.7,4.0,13.0,50.0,27.0,2.8,19.0,88.1,5.9,0.0,,2025
79.0,Gunnar Helm,23.0,TEN,TE,13.0,8.0,46.0,37.0,298.0,8.1,1.0,15.0,56.5,22.0,2.8,22.9,80.4,6.5,0.0,,2025
80.0,George Kittle,32.0,SFO,TE,8.0,8.0,45.0,37.0,396.0,10.7,5.0,23.0,66.7,33.0,4.6,49.5,82.2,8.8,0.0,,2025
81.0,Olamide Zaccheaus,28.0,CHI,WR,13.0,4.0,57.0,37.0,280.0,7.6,2.0,14.0,45.6,16.0,2.8,21.5,64.9,4.9,0.0,,2025
82.0,Keon Coleman,22.0,BUF,WR,11.0,6.0,55.0,36.0,355.0,9.9,4.0,24.0,61.8,35.0,3.3,32.3,65.5,6.5,1.0,,2025
83.0,Cooper Kupp,32.0,SEA,WR,12.0,12.0,53.0,36.0,473.0,13.1,2.0,21.0,60.4,67.0,3.0,39.4,67.9,8.9,0.0,,2025
84.0,Parker Washington,23.0,JAX,WR,12.0,6.0,63.0,36.0,447.0,12.4,3.0,23.0,47.6,40.0,3.0,37.3,57.1,7.1,1.0,,2025
85.0,Garrett Wilson,25.0,NYJ,WR,7.0,7.0,59.0,36.0,395.0,11.0,4.0,18.0,45.8,33.0,5.1,56.4,61.0,6.7,1.0,,2025
86.0,Saquon Barkley,28.0,PHI,RB,13.0,13.0,45.0,35.0,259.0,7.4,2.0,11.0,35.6,47.0,2.7,19.9,77.8,5.8,1.0,,2025
87.0,Jayden Higgins,23.0,HOU,WR,13.0,8.0,55.0,35.0,393.0,11.2,4.0,23.0,52.7,28.0,2.7,30.2,63.6,7.1,0.0,,2025
88.0,Mack Hollins,32.0,NWE,WR,13.0,11.0,48.0,35.0,440.0,12.6,2.0,23.0,66.7,54.0,2.7,33.8,72.9,9.2,0.0,,2025
89.0,Colston Loveland,21.0,CHI,TE,12.0,8.0,49.0,35.0,435.0,12.4,4.0,21.0,53.1,58.0,2.9,36.3,71.4,8.9,0.0,,2025
90.0,Jonathan Taylor,26.0,IND,RB,13.0,13.0,40.0,35.0,304.0,8.7,2.0,12.0,57.5,43.0,2.7,23.4,87.5,7.6,2.0,,2025
91.0,Brian Thomas,23.0,JAX,WR,10.0,10.0,69.0,35.0,535.0,15.3,1.0,24.0,43.5,46.0,3.5,53.5,50.7,7.8,0.0,,2025
92.0,Chimere Dike,24.0,TEN,WR,13.0,7.0,55.0,34.0,284.0,8.4,3.0,14.0,40.0,38.0,2.6,21.8,61.8,5.2,2.0,,2025
93.0,Noah Fant,28.0,CIN,TE,12.0,6.0,39.0,33.0,283.0,8.6,3.0,13.0,64.1,25.0,2.8,23.6,84.6,7.3,2.0,,2025
