,Year,Rank,Player,Votes,Games,Games_Started,Age,Pass_QBrec,Pass_Rate,Pass_QBR,Pass_Y_per_A,Pass_AY_per_A,Pass_Y_per_C,Pass_Y_per_G,Pass_NY_per_A,Pass_ANY_per_A,Pass_Sk,Pass_4QC,Pass_GWD,Pass_Completions,Pass_Attempts,Pass_Yards,Pass_Touchdowns,Pass_Interceptions,Rush_Attempts,Rush_Yards,Rush_Touchdowns,Scrim_Receiving_Tgt,Scrim_Receiving_Y_R,Scrim_Receiving_1D,Scrim_Receiving_Succ_Pct,Scrim_Receiving_Lng,Scrim_Receiving_R_G,Scrim_Receiving_Y_G,Scrim_Receiving_Ctch_Pct,Scrim_Receiving_Y_Tgt,Rec_Receptions,Rec_Yards,Rec_Touchdowns,Scrim_Scrimmage_Touch,Scrim_Scrimmage_Y_Tch,Scrim_Scrimmage_YScm,Scrim_Scrimmage_RRTD,Def_Solo,Def_Sk,Def_Int,Scrim_Rushing_1D,Scrim_Rushing_Succ_Pct,Scrim_Rushing_Lng,Scrim_Rushing_Y_A,Scrim_Rushing_Y_G,Scrim_Rushing_A_G
36,2021,1,Aaron Rodgers,39.0,16,16,38.0,,111.9,74.1,7.7,8.8,11.2,257.2,7.0,8.0,30.0,1.0,2.0,366,531,4115,37,4,33,101,3,1.0,-4.0,0.0,0.0,-4.0,0.1,-0.3,100.0,-4.0,1,-4,0,34.0,2.9,97.0,3.0,0.0,0.0,0.0,10.0,36.4,18.0,3.1,6.3,2.1
37,2021,2,Tom Brady,10.0,17,17,44.0,,102.1,73.1,7.4,7.84,11.0,312.7,6.98,7.41,22.0,3.0,5.0,485,719,5316,43,12,28,81,2,0.0,,0.0,,,0.0,0.0,,,0,0,0,28.0,2.9,81.0,2.0,0.0,0.0,0.0,14.0,53.6,13.0,2.9,4.8,1.6
38,2021,3,Cooper Kupp,1.0,17,17,28.0,,39.6,12.9,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,4,18,0,191.0,13.4,89.0,63.4,59.0,8.5,114.5,75.9,10.2,145,1947,16,149.0,13.2,1965.0,16.0,1.0,0.0,0.0,1.0,50.0,18.0,4.5,1.1,0.2
39,2020,1,Aaron Rodgers,44.0,16,16,37.0,,121.5,79.8,8.2,9.57,11.6,268.7,7.54,8.89,20.0,1.0,2.0,372,526,4299,48,5,38,149,3,1.0,-6.0,0.0,0.0,-6.0,0.1,-0.4,100.0,-6.0,1,-6,0,39.0,3.7,143.0,3.0,0.0,0.0,0.0,15.0,55.3,14.0,3.9,9.3,2.4
40,2020,2,Josh Allen,4.0,16,16,24.0,,107.2,76.6,7.9,8.45,11.5,284.0,7.33,7.82,26.0,2.0,3.0,396,572,4544,37,10,102,421,8,1.0,12.0,1.0,100.0,12.0,0.1,0.8,100.0,12.0,1,12,1,103.0,4.2,433.0,9.0,0.0,0.0,0.0,38.0,54.9,24.0,4.1,26.3,6.4
41,2020,3,Patrick Mahomes,2.0,15,15,25.0,,108.2,78.1,8.1,8.89,12.2,316.0,7.53,8.33,22.0,3.0,3.0,390,588,4740,38,6,62,308,2,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,62.0,5.0,308.0,2.0,0.0,0.0,0.0,22.0,53.2,24.0,5.0,20.5,4.1
42,2019,1,Lamar Jackson,50.0,15,15,22.0,,113.3,83.0,7.8,8.92,11.8,208.5,7.13,8.19,23.0,1.0,2.0,265,401,3127,36,6,176,1206,7,0.0,,0.0,,,0.0,0.0,,,0,0,0,176.0,6.9,1206.0,7.0,0.0,0.0,0.0,71.0,58.0,47.0,6.9,80.4,11.7
43,2018,1,Patrick Mahomes,41.0,16,16,23.0,,113.8,80.3,8.8,9.58,13.3,318.6,8.13,8.89,26.0,2.0,2.0,383,580,5097,50,12,60,272,2,0.0,,0.0,,,0.0,0.0,,,0,0,0,60.0,4.5,272.0,2.0,0.0,0.0,0.0,17.0,53.3,28.0,4.5,17.0,3.8
44,2018,2,Drew Brees,9.0,15,15,39.0,,115.7,79.2,8.2,9.01,11.0,266.1,7.65,8.47,17.0,6.0,7.0,364,489,3992,32,5,31,22,4,1.0,1.0,0.0,0.0,1.0,0.1,0.1,100.0,1.0,1,1,0,32.0,0.7,23.0,4.0,0.0,0.0,0.0,11.0,38.7,11.0,0.7,1.5,2.1
45,2017,1,Tom Brady,40.0,16,16,40.0,,102.8,71.1,7.9,8.36,11.9,286.1,7.1,7.56,35.0,2.0,2.0,385,581,4577,32,8,25,28,0,0.0,,0.0,,,0.0,0.0,,,0,0,0,25.0,1.1,28.0,0.0,0.0,0.0,0.0,8.0,32.0,7.0,1.1,1.8,1.6
46,2017,2,Todd Gurley,8.0,15,15,23.0,,,,,,,,,,,,,0,0,0,0,0,279,1305,13,87.0,12.3,32.0,51.7,80.0,4.3,52.5,73.6,9.1,64,788,6,343.0,6.1,2093.0,19.0,0.0,0.0,0.0,69.0,50.5,57.0,4.7,87.0,18.6
47,2017,3,Carson Wentz,2.0,13,13,25.0,,101.9,78.6,7.5,8.28,12.4,253.5,6.7,7.43,28.0,1.0,1.0,265,440,3296,33,7,64,299,0,0.0,,0.0,,,0.0,0.0,,,0,0,0,64.0,4.7,299.0,0.0,0.0,0.0,0.0,27.0,53.1,24.0,4.7,23.0,4.9
48,2016,1,Matt Ryan,25.0,16,16,31.0,,117.1,79.6,9.3,10.09,13.3,309.0,8.25,9.03,37.0,1.0,2.0,373,534,4944,38,7,35,117,0,0.0,,0.0,,,0.0,0.0,,,0,0,0,35.0,3.3,117.0,0.0,0.0,0.0,0.0,13.0,42.9,18.0,3.3,7.3,2.2
49,2016,2,Tom Brady,10.0,12,12,39.0,,112.2,79.4,8.2,9.31,12.2,296.2,7.76,8.81,15.0,1.0,1.0,291,432,3554,28,2,28,64,0,0.0,,0.0,,,0.0,0.0,,,0,0,0,28.0,2.3,64.0,0.0,0.0,0.0,0.0,11.0,42.9,15.0,2.3,5.3,2.3
50,2016,3,Derek Carr,6.0,15,15,25.0,,96.7,56.1,7.0,7.55,11.0,262.5,6.7,7.2,16.0,7.0,7.0,357,560,3937,28,6,39,70,0,0.0,,0.0,,,0.0,0.0,,,0,0,0,39.0,1.8,70.0,0.0,0.0,0.0,0.0,5.0,30.8,13.0,1.8,4.7,2.6
51,2016,4,Ezekiel Elliott,6.0,15,15,21.0,,,,,,,,,,,,,0,0,0,0,0,322,1631,15,39.0,11.3,11.0,48.7,83.0,2.1,24.2,82.1,9.3,32,363,1,354.0,5.6,1994.0,16.0,0.0,0.0,0.0,95.0,55.3,60.0,5.1,108.7,21.5
52,2016,5,Aaron Rodgers,2.0,16,16,33.0,,104.2,72.4,7.3,8.05,11.0,276.8,6.48,7.24,35.0,0.0,2.0,401,610,4428,40,7,67,369,4,0.0,,0.0,,,0.0,0.0,,,0,0,0,67.0,5.5,369.0,4.0,0.0,0.0,0.0,26.0,49.3,23.0,5.5,23.1,4.2
53,2016,6,Dak Prescott,1.0,16,16,23.0,,104.9,77.6,8.0,8.6,11.8,229.2,7.28,7.86,25.0,5.0,5.0,311,459,3667,23,4,57,282,6,0.0,,0.0,,,0.0,0.0,,,0,0,0,57.0,4.9,282.0,6.0,0.0,0.0,0.0,21.0,54.4,18.0,4.9,17.6,3.6
54,2015,1,Cam Newton,48.0,16,16,26.0,,99.4,61.4,7.8,8.26,13.0,239.8,6.73,7.2,33.0,3.0,4.0,296,495,3837,35,10,132,636,10,0.0,,0.0,,,0.0,0.0,,,0,0,0,132.0,4.8,636.0,10.0,0.0,0.0,0.0,59.0,56.1,47.0,4.8,39.8,8.3
