,1000_Rec_Yards,1000_Rush_Yards,GS Pass_Cmp,Likely_RB,PFR_Age GS,PFR_Age^2,Pass_Comp_Pct,Pass_Int,Pass_TD_INT_Ratio,Pass_YPA,Rec,Rec_YPR,Rush_TD,Rush_TD_Rate,Rush_YPC,Rush_Yds,Total_TD,Total_TDs,Total_Yards,target,season
125,-0.302659963383191,-0.5800418934273982,-0.32232998815126435,-0.590810124975516,-0.41692425438504227,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-0.586901326988804,0.8124512268386879,-0.29714918157447795,-0.26228952507799996,0.13451618766807574,-0.2324656132115792,-0.5649580068690754,-0.5186045493275686,-0.23899077409044245,22.0,1992
18,3.304037933599835,-0.5800418934273982,-1.943628587619995,-0.590810124975516,-0.11392190388876802,-3.5278097199866405,-1.7566201315117844,-3.7722726230548616,-0.4021662540438065,-0.500422152886127,1.9617575522257626,0.9308012529157715,-1.3463425881214006,-0.3259590836501439,-1.2356187574230502,-1.2665655814168946,-1.0787195011919866,-0.7467905510316989,0.3132059259383597,37.0,2022
93,-0.302659963383191,1.7240134054647667,-0.32232998815126435,1.6925911688487756,-0.41692425438504227,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-0.765754581670528,0.11127713326793942,0.48974587333571395,-0.287482515879665,-0.14607215929051273,1.2472568155193255,-0.179636886126892,-0.06223254591930819,0.793541411579852,20.0,2001
78,-0.302659963383191,-0.5800418934273982,-0.36071175091419755,-0.590810124975516,0.19799228044563194,0.07102597248546388,-1.7566201315068914,0.9310505199759819,0.7067958062111771,1.4884472587340625,-0.0056282492732011415,-1.1642864300109321,0.48974587333571395,-0.19708576027541222,0.6555782678281741,-0.09813922558903308,1.3616475968418418,-0.06223254591930819,-0.7363460210341923,23.0,2006
25,-0.302659963383191,-0.5800418934273982,-0.16020012820439128,-0.590810124975516,-0.21195207610815087,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,0.08379837806766084,1.1851415527180025,-0.8217458848479393,0.11063217507244932,2.2547141009788527,-1.1045210503166802,-0.8218387540305311,0.3941394574889523,-0.4734852631437694,1.0,2022
74,-0.302659963383191,-0.5800418934273982,0.6504491715299741,-0.590810124975516,0.8129088152763062,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-0.0056282492732011415,-1.1642864300109321,-0.29714918157447795,-0.26228952507799996,0.13451618766807574,-0.2324656132115792,-0.5649580068690754,-0.7467905510316989,-0.8554843501499956,2.0,2008
20,-0.302659963383191,-0.5800418934273982,-1.566428505294617,-0.590810124975516,-1.4417851457694992,0.07102597248546388,-1.7566201315054182,-2.3250962713530634,2.9616853282971487,2.1092567012617636,-1.74944748242001,-1.1642864300109321,-1.0840442364846699,-0.25650138339205686,-1.3725371696201443,-1.2473760974708166,0.7194457289382027,-1.4313485561440895,-1.7556406145805088,19.0,2022
170,-0.302659963383191,1.7240134054647667,0.488319311583101,1.6925911688487756,0.6079366369994148,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-0.4527613859775111,0.4503072008599691,0.48974587333571395,-0.2777767150006691,0.0940933906619133,1.0788157897704187,-0.179636886126892,0.6223254591930825,0.8691847951454413,20.0,1985
52,-0.302659963383191,-0.5800418934273982,0.6504491715299741,-0.590810124975516,0.8129088152763062,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-0.0056282492732011415,-1.1642864300109321,-0.29714918157447795,-0.26228952507799996,0.13451618766807574,-0.2324656132115792,-0.5649580068690754,-0.7467905510316989,-0.8554843501499956,7.0,2014
103,-0.302659963383191,-0.5800418934273982,1.5080830429224128,-0.590810124975516,0.8129088152763062,0.07102597248546388,-1.756620131506402,6.357961838857724,0.7577825676450659,1.599179353434861,-0.0056282492732011415,-1.1642864300109321,-0.29714918157447795,0.08152609118865624,-0.18692514047591924,-1.1429000182088362,2.7744917062298473,-0.7467905510316989,-1.6629774697126618,2.0,1998
